name,bucket,is_classical,depth,proof_length,file_path
SimpleGraph.isClique_map_finset_iff_of_nontrivial,depth 3-4,1,4,10,Mathlib/Combinatorics/SimpleGraph/Clique.lean
Real.Angle.toReal_nonneg_iff_sign_nonneg,depth 3-4,1,3,2,Mathlib/Analysis/SpecialFunctions/Trigonometric/Angle.lean
IsPrimitiveRoot.card_primitiveRoots,depth 3-4,1,3,17,Mathlib/RingTheory/RootsOfUnity/PrimitiveRoots.lean
ContMDiffWithinAt.finsum_section_of_locallyFinite,depth 3-4,1,3,10,Mathlib/Geometry/Manifold/VectorBundle/SmoothSection.lean
CategoryTheory.ShortComplex.quasiIso_opMap_iff,depth 3-4,1,3,8,Mathlib/Algebra/Homology/ShortComplex/QuasiIso.lean
NumberField.mixedEmbedding.convexBodySum_mem,depth 3-4,1,3,2,Mathlib/NumberTheory/NumberField/CanonicalEmbedding/ConvexBody.lean
NumberField.discr_eq_discr_of_algEquiv,depth 3-4,1,4,8,Mathlib/NumberTheory/NumberField/Discriminant/Defs.lean
MeasureTheory.tendsto_of_forall_isClosed_limsup_le_nat,depth 3-4,1,4,9,Mathlib/MeasureTheory/Measure/Portmanteau.lean
MeasureTheory.indicatorConstLp_univ,depth 3-4,1,4,2,Mathlib/MeasureTheory/Function/LpSpace/Indicator.lean
cfc_commute_cfc,depth 3-4,1,3,5,Mathlib/Analysis/CStarAlgebra/ContinuousFunctionalCalculus/Unital.lean
Complex.Gammaℝ_one_sub_mul_Gammaℝ_one_add,depth 3-4,1,4,7,Mathlib/Analysis/SpecialFunctions/Gamma/Deligne.lean
Polynomial.IsDistinguishedAt.map_ne_zero_of_eq_mul,depth 3-4,1,4,4,Mathlib/RingTheory/Polynomial/Eisenstein/Distinguished.lean
Polynomial.resultant_mul_right,depth 3-4,1,3,18,Mathlib/RingTheory/Polynomial/Resultant/Basic.lean
ContinuousMap.toNNReal_add_add_neg_add_neg_eq,depth 3-4,1,3,3,Mathlib/Analysis/CStarAlgebra/ContinuousFunctionalCalculus/Unique.lean
Polynomial.reverse_natDegree_le,depth 3-4,1,3,4,Mathlib/Algebra/Polynomial/Reverse.lean
Orientation.angle_eq_abs_oangle_toReal,depth 3-4,1,4,7,Mathlib/Geometry/Euclidean/Angle/Oriented/Basic.lean
QuaternionAlgebra.rank_eq_four,depth 3-4,1,3,2,Mathlib/Algebra/Quaternion.lean
AlgebraicGeometry.map_injective_of_isIntegral,depth 3-4,1,4,9,Mathlib/AlgebraicGeometry/Properties.lean
IsSymmSndFDerivAt.isSymmSndFDerivWithinAt,depth 3-4,1,4,2,Mathlib/Analysis/Calculus/FDeriv/Symmetric.lean
PowerSeries.le_order,depth 3-4,1,3,5,Mathlib/RingTheory/PowerSeries/Order.lean
SimpleGraph.linearIndependent_lapMatrix_ker_basis_aux,depth 3-4,1,4,13,Mathlib/Combinatorics/SimpleGraph/LapMatrix.lean
CategoryTheory.Limits.preservesColimitsOfShape_of_equiv,depth 3-4,1,3,5,Mathlib/CategoryTheory/Limits/Preserves/Basic.lean
MeasureTheory.lpMeasToLpTrimLie_symm_toLp,depth 3-4,1,3,3,Mathlib/MeasureTheory/Function/ConditionalExpectation/AEMeasurable.lean
Algebra.algebraMap_intNorm,depth 3-4,1,4,6,Mathlib/RingTheory/IntegralClosure/IntegralRestrict.lean
finprod_curry₃,depth 3-4,1,4,5,Mathlib/Algebra/BigOperators/Finprod.lean
RCLike.nonUnitalContinuousFunctionalCalculus,depth 3-4,1,3,18,Mathlib/Analysis/CStarAlgebra/ContinuousFunctionalCalculus/Instances.lean
Directed.extend_bot,depth 3-4,1,3,10,Mathlib/Order/Directed.lean
