name,is_classical,choice_depth,split
Complex.exists_mem_frontier_isMaxOn_norm,1,3,classical_heldout
ProbabilityTheory.iIndepFun_iff_charFun_pi,1,3,classical_heldout
IsLocalization.surjective_piRingHom_algebraMap_comp_piEvalRingHom,1,2,classical_heldout
real_inner_add_sub_eq_zero_iff,1,4,classical_heldout
SimpleGraph.Walk.IsEulerian.even_degree_iff,0,,train
AddChar.sum_eq_zero_iff_ne_zero,1,4,classical_heldout
IsSolvable.commutator_lt_top_of_nontrivial,1,5,classical_heldout
MvPowerSeries.coeff_monomial_mul,1,2,classical_heldout
StrictConvex.linear_image,0,,train
CharTwo.of_one_ne_zero_of_two_eq_zero,0,,val
Matroid.IsBase.inter_isBasis_iff_compl_inter_isBasis_dual,1,5,classical_heldout
not_isRightRegular_zero_iff,1,3,classical_heldout
NumberField.IsCMField.Units.complexConj_eq_self_iff,1,2,classical_heldout
Polynomial.derivative_rootMultiplicity_of_root,1,2,classical_heldout
MDifferentiableWithinAt.mpullback_vectorField_preimage_of_eq,1,3,classical_heldout
IsOpen.exists_Ioo_subset,1,3,classical_heldout
Nat.log_eq_of_pow_le_of_lt_pow,1,4,classical_heldout
MeasureTheory.Lp.ae_eq_of_forall_setIntegral_eq',1,3,classical_heldout
IsIntegrallyClosed.iInf,1,4,classical_heldout
Set.infsep_pos_iff_nontrivial_of_finite,1,3,classical_heldout
MeasureTheory.lpNorm_eq_integral_norm_rpow_toReal,1,3,classical_heldout
NonUnitalAlgHom.toAlgHom_zero,0,,train
SimpleGraph.isBipartiteWith_neighborSet',0,,train
List.getLastI_eq_getLast?_getD,0,,test
Fermat42.ne_zero,1,6,classical_heldout
QuasiconvexOn.sup,0,,train
EReal.image_coe_Ici,0,,test
rank_matrix_module,1,4,classical_heldout
Ideal.span_pair_add_mul_left,0,,train
Polynomial.hasseDeriv_natDegree_eq_C,1,3,classical_heldout
MeasureTheory.FiniteMeasure.tendsto_iff_forall_integral_tendsto,1,4,classical_heldout
AnalyticAt.meromorphicTrailingCoeffAt_of_eq_nhdsNE,1,2,classical_heldout
OpenPartialHomeomorph.subtypeRestr_target_subset,1,7,classical_heldout
Submodule.re_inner_starProjection_nonneg,1,3,classical_heldout
Int.bitwise_diff,0,,train
Algebra.basicOpen_subset_unramifiedLocus_iff,1,5,classical_heldout
Affine.Simplex.smul_centroid_vsub_point_eq_sum_vsub,1,4,classical_heldout
CategoryTheory.compatiblePreservingOfDownwardsClosed,1,5,classical_heldout
IsLocalizedModule.smul_mem_finsetIntegerMultiple_span,1,5,classical_heldout
Ordinal.mul_eq_right_iff_opow_omega0_dvd,1,4,classical_heldout
AkraBazziRecurrence.deriv_smoothingFn,1,4,classical_heldout
trichotomy_of_mul_eq_mul,1,6,classical_heldout
threeGPFree_insert_of_lt,0,,val
CategoryTheory.MorphismProperty.DescendsAlong.mk',1,4,classical_heldout
Nat.decreasingInduction_succ,0,,train
